指标编号|指标名称|统计对象|统计维度一|统计频度|条线|单位|业务口径|完善后的业务口径
INDX_0068|支付结算年度价值商户数|理财经理/机构|营销活动/目标任务|日||户|价值商户判断条件包含【客户资产指标】和【商户自身交易量指标】，同时满足两项指标判定为是价值商户，其中商户自身交易量指标指目标客群名下所有商户自身交易量汇总。客户资产达标指标包含【客户资产AUM当月月日均】、【活期存款当月月日均】，满足任意一项指标判定条件为达标。针对小微商户AUM当月月日均超过2万元（含）、活期存款当月月日均超过1万元（含）；针对个体商户AUM当月月日均超过5万元（含）、活期存款当月月日均超过2.5万元（含）。商户自身交易量达标指标：近30天（含）条码收单【交易笔数】超过10笔（含）且【金额总额】超过100元（含）的商户。|
INDX_0069|二维码收款个人活跃商户结算存款留存率|理财经理/机构|营销活动/目标任务|日||%|年累计交易金额达到500元的商户，年累计交易金额转为日均存量的比例。资金留存率=个人活跃商户年日均存款/个人活跃商户年累计交易量。|
INDX_0070|银行卡三方支付绑卡|理财经理/机构|营销活动/目标任务|日||张|我行银行卡首次绑定微信支付、支付宝、云闪付等三方支付的数量（按发卡机构计算任务完成数）。|
INDX_0071|银行卡三方支付绑卡率|理财经理/机构|营销活动/目标任务|日||%|本年新增持卡客户且年龄70岁以下的的三方支付绑定率|
INDX_0072|活跃卡数|理财经理/机构|营销活动/目标任务|日||张|近 180 天内该卡号所属根卡下任意卡片有发生消费、取现、还款等主动动账交易的有效卡片数量。|
INDX_0073|手机银行客户数新增个人客户数|理财经理/机构|营销活动/目标任务|日||户|综合报表平台|
INDX_0074|手机银行交易金额|理财经理/机构|营销活动/目标任务|日||元|综合报表平台|
INDX_0075|手机银行交易笔数|理财经理/机构|营销活动/目标任务|日||笔|综合报表平台|
INDX_0076|一码付收款户数|理财经理/机构|营销活动/目标任务|日||户|综合报表平台|
INDX_0077|一码付收款新增商户数|理财经理/机构|营销活动/目标任务|日||户|综合报表平台|
INDX_0078|一码付收款交易金额|理财经理/机构|营销活动/目标任务|日||元|综合报表平台|
INDX_0079|一码付收款交易笔数|理财经理/机构|营销活动/目标任务|日||笔|综合报表平台|
